alegeDirector,01-05-2020 23:32:29
formeazaClasa,01-05-2020 23:32:29
alegeDiriginte,01-05-2020 23:32:29
formeazaClasa,01-05-2020 23:32:29
alegeDiriginte,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
setOrarUnProfesor,01-05-2020 23:32:29
setOrarUnProfesor,01-05-2020 23:32:29
setOrarUnProfesor,01-05-2020 23:32:29
setOrarUnProfesor,01-05-2020 23:32:29
daNotalaPurtare,01-05-2020 23:32:29
laCeClaseTineOre,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
adaugaElevLaClasa,01-05-2020 23:32:29
setOrarUnProfesor,01-05-2020 23:32:29
daNotaLaElev,01-05-2020 23:32:29
laCeClaseTineOre,01-05-2020 23:32:29
primesteNotaLaMaterie,01-05-2020 23:32:29
daNotaLaElev,01-05-2020 23:32:29
laCeClaseTineOre,01-05-2020 23:32:29
primesteNotaLaMaterie,01-05-2020 23:32:29
daNotaLaElev,01-05-2020 23:32:29
laCeClaseTineOre,01-05-2020 23:32:29
primesteNotaLaMaterie,01-05-2020 23:32:29
